id,name,rarity,skills,slots,equivalentSlots,keySkillValue,createdAt
"CHARM_ID_0003","强走护石Ⅲ","6","HunterSkill_024,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0008","体术护石Ⅴ","8","HunterSkill_025,5","0,0,0","0,0,0,5,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0011","纳刀护石Ⅲ","6","HunterSkill_031,3","0,0,0","0,0,0,3,0,0","3","2025-02-27T16:00:00.000Z"
"CHARM_ID_0014","挑战护石Ⅲ","8","HunterSkill_058,3","0,0,0","0,0,0,0,0,3","3","2025-02-27T16:00:00.000Z"
"CHARM_ID_0017","无伤护石Ⅲ","8","HunterSkill_059,3","0,0,0","0,0,0,0,3,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0020","暴怒护石Ⅲ","8","HunterSkill_060,3","0,0,0","0,0,0,0,3,0","3","2025-02-27T16:00:00.000Z"
"CHARM_ID_0022","痛击护石Ⅱ","7","HunterSkill_062,2","0,0,0","0,0,0,0,0,2","2","2025-02-27T16:00:00.000Z"
"CHARM_ID_0026","全开护石Ⅲ","8","HunterSkill_063,3","0,0,0","0,0,0,0,0,3","3","2025-02-27T16:00:00.000Z"
"CHARM_ID_0029","浑身护石Ⅲ","8","HunterSkill_064,3","0,0,0","0,0,0,0,3,0","3","2025-02-27T16:00:00.000Z"
"CHARM_ID_0032","早气护石Ⅲ","6","HunterSkill_065,3","0,0,0","0,0,0,0,3,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0037","防御护石Ⅴ","7","HunterSkill_067,5","0,0,0","0,0,0,5,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0040","加护护石Ⅲ","5","HunterSkill_068,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0043","治愈护石Ⅲ","5","HunterSkill_069,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0046","早复护石Ⅲ","5","HunterSkill_070,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0049","快吃护石Ⅲ","5","HunterSkill_071,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0051","耳塞护石Ⅱ","7","HunterSkill_072,2","0,0,0","0,0,0,0,2,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0054","防风护石Ⅲ","6","HunterSkill_073,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0057","耐震护石Ⅲ","6","HunterSkill_074,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0061","回避护石Ⅳ","7","HunterSkill_075,4","0,0,0","0,0,0,0,4,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0064","跳跃护石Ⅲ","6","HunterSkill_076,3","0,0,0","0,0,0,0,3,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0067","耐火护石Ⅲ","5","HunterSkill_077,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0070","耐水护石Ⅲ","5","HunterSkill_078,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0073","耐雷护石Ⅲ","5","HunterSkill_080,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0076","耐冰护石Ⅲ","5","HunterSkill_079,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0079","耐龙护石Ⅲ","5","HunterSkill_081,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0082","耐属护石Ⅲ","8","HunterSkill_082,3","0,0,0","0,0,0,0,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0085","耐毒护石Ⅲ","5","HunterSkill_083,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0088","耐麻护石Ⅲ","5","HunterSkill_084,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0091","耐眠护石Ⅲ","5","HunterSkill_085,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0094","耐绝护石Ⅲ","5","HunterSkill_086,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0097","耐爆护石Ⅲ","5","HunterSkill_087,3","0,0,0","0,0,0,3,0,0","0","2025-02-27T16:00:00.000Z"
"CHARM_ID_0101","植学护石Ⅳ","5","HunterSkill_089,4","0,0,0","0,0,0,4,0,0","0","2025-02-27T16:00:00.000Z"
