id,name,type,description,sortId,category,maxLevel,accessoryLevel,isKey
"NONE","SkillCommon_0","SKILL_0000","占位技能","0","armor","1","-1","false"
"HunterSkill_000","攻击","SKILL_0000","提高玩家的攻击力。","1","weapon","5","1","true"
"HunterSkill_060","怨恨","SKILL_0000","体力槽有红色部分时，提升攻击力。","2","armor","5","2","false"
"HunterSkill_115","巧击","SKILL_0000","回避时，若时机正好与怪物的攻击重合，提升一定时间内的攻击力。","3","armor","5","3","false"
"HunterSkill_028","攻击守势","SKILL_0000","抓准时机格挡成功时，会提升一定时间的攻击力。","4","weapon","3","1","true"
"HunterSkill_059","无伤","SKILL_0000","体力全满时，提升攻击力。","5","armor","5","2","false"
"HunterSkill_110","逆袭","SKILL_0000","被击飞后，一定时间内攻击力提升。","6","armor","3","2","true"
"HunterSkill_001","看破","SKILL_0001","提升会心率。","50","weapon","5","1","true"
"HunterSkill_002","超会心","SKILL_0001","提升会心攻击的伤害。","51","weapon","5","1","true"
"HunterSkill_062","弱点特效","SKILL_0000","攻击怪物时，若攻击对该部位颇为有效，会心率会提升。","52","armor","5","3","true"
"HunterSkill_029","拔刀术【技】","SKILL_0001","拔刀行动后，一定时间内提高会心率。（骑乘鹭鹰龙时不会发动）","53","weapon","3","1","false"
"HunterSkill_064","精神抖擞","SKILL_0000","维持耐力槽全满状态一段时间后，会心率会提升。","54","armor","3","2","true"
"HunterSkill_005","火属性攻击强化","SKILL_0002","强化火属性之力。（武器属性值的强化存在上限）","100","weapon","3","1","false"
"HunterSkill_006","水属性攻击强化","SKILL_0002","强化水属性之力。（武器属性值的强化存在上限）","101","weapon","3","1","false"
"HunterSkill_007","冰属性攻击强化","SKILL_0002","强化冰属性之力。（武器属性值的强化存在上限）","103","weapon","3","1","false"
"HunterSkill_008","雷属性攻击强化","SKILL_0002","强化雷属性之力。（武器属性值的强化存在上限）","102","weapon","3","1","false"
"HunterSkill_009","龙属性攻击强化","SKILL_0002","强化龙属性之力。（武器属性值的强化存在上限）","104","weapon","3","1","false"
"HunterSkill_010","毒属性强化","SKILL_0002","强化毒属性累积值。（武器属性值的强化存在上限）","105","weapon","3","1","false"
"HunterSkill_011","麻痹属性强化","SKILL_0002","强化麻痹属性累积值。（武器属性值的强化存在上限）","106","weapon","3","1","false"
"HunterSkill_012","睡眠属性强化","SKILL_0002","强化睡眠属性累积值。（武器属性值的强化存在上限）","107","weapon","3","1","false"
"HunterSkill_013","爆破属性强化","SKILL_0002","强化爆破属性累积值。（武器属性值的强化存在上限）","108","weapon","3","1","false"
"HunterSkill_003","会心击【属性】","SKILL_0002","提升会心攻击时造成的属性伤害。（火、水、雷、冰、龙）","109","weapon","3","1","false"
"HunterSkill_056","会心击【特殊】","SKILL_0002","提升会心攻击时造成的状态异常值。（麻痹、毒、睡眠、爆破）","110","weapon","3","1","false"
"HunterSkill_048","蓄力大师","SKILL_0002","蓄力攻击的属性值和状态异常累积值上升。","111","weapon","3","1","false"
"HunterSkill_191","属性变换","SKILL_0000","受到属性攻击后会发动，在一定时间内获得与龙属性相关的效果。（效果结束后，需要经过一定时间才能再次发动）","112","armor","3","-1","false"
"HunterSkill_014","匠","SKILL_0003","延长武器的锋利度槽。（不会超过上限）","150","weapon","5","1","false"
"HunterSkill_015","利刃","SKILL_0003","抑制锋利度消耗。","151","weapon","3","1","false"
"HunterSkill_017","刚刃打磨","SKILL_0003","打磨武器后，一定时间内锋利度不会降低。","152","weapon","3","1","false"
"HunterSkill_018","心眼","SKILL_0003","攻击不易被弹开，对坚硬部位的攻击威力上升。","153","weapon","3","1","true"
"HunterSkill_020","钝器能手","SKILL_0003","锋利度较差时，造成的伤害提升。","154","weapon","3","1","false"
"HunterSkill_004","达人艺","SKILL_0003","抑制会心攻击时的锋利度消耗。","155","weapon","1","3","true"
"HunterSkill_038","通常弹·通常箭强化","SKILL_0004","提升弩炮的通常弹与弓的通常射击、飞燕射击的攻击力。","200","weapon","1","3","true"
"HunterSkill_039","贯穿弹·龙之箭强化","SKILL_0004","提升弩炮的贯穿弹与弓的龙之箭、龙之千矢的攻击力。","201","weapon","1","3","true"
"HunterSkill_040","散弹·刚射强化","SKILL_0004","提升弩炮的散弹与弓的刚射、迅雷闪击的攻击力。","202","weapon","1","3","true"
"HunterSkill_019","弹道强化","SKILL_0004","扩大弹药、箭矢可击出最大威力的范围。技能等级提升时威力也会上升。","203","weapon","3","1","true"
"HunterSkill_045","速射强化","SKILL_0004","强化轻弩炮的速射威力。","204","weapon","1","3","true"
"HunterSkill_198","首发迅击","SKILL_0004","提升弩炮的装填速度，并在装填至全满后提升首发弹药的威力。","205","weapon","3","1","false"
"HunterSkill_197","强四射击","SKILL_0004","弩炮和弓装填瓶后，提升第4及第6发射击的攻击力，以及第4发及后续射击的会心率。","206","weapon","3","1","true"
"HunterSkill_037","特殊射击强化","SKILL_0004","提升弩炮的特殊弹药与弓的龙之箭、龙之千矢、引导箭的威力。","207","weapon","2","1","false"
"HunterSkill_051","毒瓶追加","SKILL_0004","装备弓时，可装填毒瓶。","208","weapon","1","2","false"
"HunterSkill_052","麻痹瓶追加","SKILL_0004","装备弓时，可装填麻痹瓶。","209","weapon","1","3","true"
"HunterSkill_053","睡眠瓶追加","SKILL_0004","装备弓时，可装填睡眠瓶。","210","weapon","1","3","false"
"HunterSkill_054","爆破瓶追加","SKILL_0004","装备弓时，可装填爆破瓶。","211","weapon","1","2","false"
"HunterSkill_199","减气瓶追加","SKILL_0004","装备弓时，可装填减气瓶。","212","weapon","1","2","false"
"HunterSkill_067","防御","SKILL_0005","提高玩家的防御力。等级提高后，也会影响耐性值。","250","armor","7","1","false"
"HunterSkill_068","精灵加护","SKILL_0005","一定概率减少玩家受到的伤害。","251","armor","3","1","false"
"HunterSkill_077","火耐性","SKILL_0005","提高玩家的火耐性。等级提高后，也会影响防御力。","252","armor","3","1","false"
"HunterSkill_078","水耐性","SKILL_0005","提高玩家的水耐性。等级提高后，也会影响防御力。","253","armor","3","1","false"
"HunterSkill_080","雷耐性","SKILL_0005","提高玩家的雷耐性。等级提高后，也会影响防御力。","254","armor","3","1","false"
"HunterSkill_079","冰耐性","SKILL_0005","提高玩家的冰耐性。等级提高后，也会影响防御力。","255","armor","3","1","false"
"HunterSkill_081","龙耐性","SKILL_0005","提高玩家的龙耐性。等级提高后，也会影响防御力。","256","armor","3","1","false"
