id,name,type,description,sortId,skills,slots,rarity,attack,critical,defense,attribute,attributeValue,subattribute,subattributeValue,sharpness,takumi
"Bow_000","希望之弓Ⅰ","bow","为调查东部地区而特别制作的弓。通过对箭矢进行特殊处理，可以应对各种情况。","0","","0,0,0","1","90","0","0","","","","","",""
"Bow_001","希望之弓Ⅱ","bow","为调查东部地区而特别制作的弓。通过对箭矢进行特殊处理，可以应对各种情况。","1","HunterSkill_019,1","0,0,0","1","100","0","0","","","","","",""
"Bow_002","希望之弓Ⅲ","bow","为调查东部地区而特别制作的弓。通过对箭矢进行特殊处理，可以应对各种情况。","2","HunterSkill_019,1,HunterSkill_001,1","0,0,0","3","130","0","0","","","","","",""
"Bow_003","希望之弓Ⅳ","bow","为调查东部地区而特别制作的弓。通过对箭矢进行特殊处理，可以应对各种情况。","3","HunterSkill_019,2,HunterSkill_001,1","2,1,0","5","160","0","0","","","","","",""
"Bow_004","希望之弓Ⅴ","bow","为调查东部地区而特别制作的弓。通过对箭矢进行特殊处理，可以应对各种情况。","4","HunterSkill_019,3,HunterSkill_001,1","3,2,0","7","190","0","0","","","","","",""
"Bow_008","虚无之弓Ⅰ","bow","使用暗器蛸素材制成的弓。手感柔软，即使是细小的龟裂和缝隙，也能轻易射入。","22","HunterSkill_022,2","1,0,0","4","160","0","0","water","11","","","",""
"Bow_009","虚无之弓Ⅱ","bow","使用暗器蛸素材制成的弓。手感柔软，即使是细小的龟裂和缝隙，也能轻易射入。","23","HunterSkill_022,3","2,1,0","6","190","0","0","water","13","","","",""
"Bow_010","布斯威尔之暗弓","bow","虚无之弓的强化版，与暗夜融为一体。一旦被潜伏在阴影里的捕食者盯上，就没有任何逃脱的可能。","24","HunterSkill_022,3","3,2,1","8","230","0","0","water","15","","","",""
"Bow_016","煌雷弓Ⅰ","bow","带有煌雷龙雷电的弓。即使释放出千万雷击，箭矢的力量依然不减。","13","HunterSkill_022,1,HunterSkill_037,1","0,0,0","3","140","0","0","elec","9","","","",""
"Bow_017","煌雷弓Ⅱ","bow","带有煌雷龙雷电的弓。即使释放出千万雷击，箭矢的力量依然不减。","14","HunterSkill_022,1,HunterSkill_037,1","2,1,0","5","170","0","0","elec","11","","","",""
"Bow_018","煌雷弓Ⅲ","bow","带有煌雷龙雷电的弓。即使释放出千万雷击，箭矢的力量依然不减。","15","HunterSkill_022,2,HunterSkill_037,1","3,2,0","7","200","0","0","elec","13","","","",""
"Bow_019","煌雷霹雳弓","bow","经过强化的煌雷弓。电闪雷鸣，万道光芒裂空，破坏之力点燃黄昏之荒野。","16","HunterSkill_022,2,HunterSkill_037,1","3,2,1","8","220","0","0","elec","15","","","",""
"Bow_024","弓箭箕宿一Ⅰ","bow","融入千刃龙敏捷而锐利的运动性能所打造的弓。射出的箭矢宛如利刃，锐不可当，贯穿猎物。","109","HunterSkill_218,1","3,2,0","7","190","25","0","","","","","",""
"Bow_025","叛弓箕宿一","bow","弓箭箕宿一的强化版。此乃在变革掀起之日，讨伐了统治大国的暴君的反抗大弓。","110","HunterSkill_218,1","3,2,1","8","210","25","0","","","","","",""
"Bow_029","风甲弓Ⅰ","bow","使用风铗龙的素材组成的大弓。风帆般张开的皮膜能够承接风力，带给箭矢更强的推进力。","25","HunterSkill_022,2,HunterSkill_055,1","0,0,0","3","140","0","0","ice","9","","","",""
"Bow_030","风甲弓Ⅱ","bow","使用风铗龙的素材组成的大弓。风帆般张开的皮膜能够承接风力，带给箭矢更强的推进力。","26","HunterSkill_022,2,HunterSkill_055,1","2,1,0","5","170","0","0","ice","11","","","",""
"Bow_031","风甲弓Ⅲ","bow","使用风铗龙的素材组成的大弓。风帆般张开的皮膜能够承接风力，带给箭矢更强的推进力。","27","HunterSkill_022,3,HunterSkill_055,1","3,2,0","7","200","0","0","ice","13","","","",""
"Bow_032","射蚀风甲弓","bow","反复强化后的风甲弓。带上战场总会有顺风相伴，射出的箭矢百发百中。","28","HunterSkill_022,3,HunterSkill_055,1","3,2,1","8","220","0","0","ice","15","","","",""
"Bow_037","炎尾弓Ⅰ","bow","使用炎尾龙素材制作的弓。拉弓时磨具会与箭头摩擦，化为火焰箭射向猎物。","17","HunterSkill_022,1","0,0,0","1","100","5","0","fire","7","","","",""
"Bow_038","炎尾弓Ⅱ","bow","使用炎尾龙素材制作的弓。拉弓时磨具会与箭头摩擦，化为火焰箭射向猎物。","18","HunterSkill_022,2","0,0,0","3","140","5","0","fire","9","","","",""
"Bow_039","炎尾弓Ⅲ","bow","使用炎尾龙素材制作的弓。拉弓时磨具会与箭头摩擦，化为火焰箭射向猎物。","19","HunterSkill_022,2","2,1,0","5","170","5","0","fire","11","","","",""
"Bow_040","炎尾弓Ⅳ","bow","使用炎尾龙素材制作的弓。拉弓时磨具会与箭头摩擦，化为火焰箭射向猎物。","20","HunterSkill_022,3","3,2,0","7","210","5","0","fire","13","","","",""
"Bow_041","燎火炎尾弓","bow","强化型的炎尾弓，射出的箭矢会带着热风飞来，将射穿的猎物由内至外焚烧殆尽。","21","HunterSkill_022,3","3,2,1","8","220","5","0","fire","15","","","",""
"Bow_045","龙穿弓Ⅰ","bow","有齿轮结构，构造复杂的弓。轻轻施力即可拉开，但威力足以贯穿飞龙的鳞片。","9","HunterSkill_197,1","0,0,0","2","120","0","0","","","","","",""
"Bow_046","龙穿弓Ⅱ","bow","有齿轮结构，构造复杂的弓。轻轻施力即可拉开，但威力足以贯穿飞龙的鳞片。","10","HunterSkill_197,2","1,0,0","4","160","0","0","","","","","",""
"Bow_047","龙穿弓Ⅲ","bow","有齿轮结构，构造复杂的弓。轻轻施力即可拉开，但威力足以贯穿飞龙的鳞片。","11","HunterSkill_197,3","2,1,0","6","190","0","0","","","","","",""
"Bow_048","真·龙穿弓","bow","工房匠人倾全力打造，全身均以稀有钢铁强化的龙穿弓。具有无法防御的强大贯穿力。","12","HunterSkill_197,3","3,2,1","8","220","0","0","","","","","",""
"Bow_053","白炎弓Ⅰ","bow","以护火龙素材制作的弓。能带给持有者如熊熊烈火一般绝不屈服的斗志。","6","HunterSkill_003,1,HunterSkill_019,1","1,0,0","4","160","15","0","fire","11","","","",""
"Bow_054","白炎弓Ⅱ","bow","以护火龙素材制作的弓。能带给持有者如熊熊烈火一般绝不屈服的斗志。","7","HunterSkill_003,2,HunterSkill_019,1","2,1,0","6","180","15","0","fire","13","","","",""
"Bow_055","冕耀之弓","bow","强化后的白炎弓。在皓白之力的涌流中，可以感受到高贵的王者之魂。","8","HunterSkill_003,2,HunterSkill_019,1","3,2,1","8","210","15","0","fire","15","","","",""
"Bow_061","烈阳弓Ⅰ","bow","穿破坚硬的甲壳，贯穿肉体，能射出如烈风般箭矢的火龙刚弓。极具威胁性的技术结晶。","65","HunterSkill_002,3","2,1,0","6","180","10","0","fire","16","","","",""
"Bow_062","日珥弓","bow","寄宿了不祥火炎的刚弓，烈阳弓的强化版。箭矢化为业火将目标焚烧殆尽。","66","HunterSkill_002,3","3,2,1","8","200","10","0","fire","20","","","",""
"Bow_066","女王猎弓Ⅰ","bow","用雌火龙的甲壳为骨架制成的深绿色猎弓。姿态优美宛如女王的肢体。","62","HunterSkill_197,2,HunterSkill_141,1","2,1,0","5","160","15","0","fire","11","","","",""
"Bow_067","女王猎弓Ⅱ","bow","用雌火龙的甲壳为骨架制成的深绿色猎弓。姿态优美宛如女王的肢体。","63","HunterSkill_197,3,HunterSkill_141,1","3,2,0","7","190","15","0","fire","13","","","",""
"Bow_068","女王旋律","bow","轻舞于大地的女王之弓，强化形态的女王猎弓。其危险的造型美俘获人心。","64","HunterSkill_197,3,HunterSkill_141,1","3,2,1","8","210","15","0","fire","15","","","",""
"Bow_071","影蜘蛛柔韧弓Ⅰ","bow","强韧的影蜘蛛之弓。搭弦之矢能以瞠目结舌的破坏力击中目标。","41","HunterSkill_048,1,HunterSkill_022,1","0,0,0","3","120","20","0","","","","","",""
"Bow_072","影蜘蛛柔韧弓Ⅱ","bow","强韧的影蜘蛛之弓。搭弦之矢能以瞠目结舌的破坏力击中目标。","42","HunterSkill_048,1,HunterSkill_022,1","2,1,0","5","150","20","0","","","","","",""
